File Name,File Type,Date,Number of Sentences,Sentiment Index
fomcminutes20190130,FOMC_Minutes,20190130,152,0.006578947
fomcminutes20210616,FOMC_Minutes,20210616,122,0.1721311475409836
fomcminutes20170614,FOMC_Minutes,20170614,201,0.014925373134328358
fomcminutes20210428,FOMC_Minutes,20210428,95,0.052631579
fomcminutes20230920,FOMC_Minutes,20230920,105,0.17142857142857143
fomcminutes20191211,FOMC_Minutes,20191211,211,-0.052132701
fomcminutes20120425,FOMC_Minutes,20120425,190,-0.094736842
fomcminutes20200610,FOMC_Minutes,20200610,168,-0.31547619
fomcminutes20150128,FOMC_Minutes,20150128,155,-0.103225806
fomcminutes20120801,FOMC_Minutes,20120801,77,-0.324675325
fomcminutes20180321,FOMC_Minutes,20180321,178,0.1404494382022472
fomcminutes20140129,FOMC_Minutes,20140129,111,-0.27027027
fomcminutes20190320,FOMC_Minutes,20190320,209,-0.081339713
fomcminutes20190731,FOMC_Minutes,20190731,155,-0.129032258
fomcminutes20230503,FOMC_Minutes,20230503,122,0.29508196721311475
fomcminutes20220316,FOMC_Minutes,20220316,105,0.6
fomcminutes20160615,FOMC_Minutes,20160615,178,-0.140449438
fomcminutes20220504,FOMC_Minutes,20220504,101,0.5643564356435643
fomcminutes20150729,FOMC_Minutes,20150729,118,-0.144067797
fomcminutes20200429,FOMC_Minutes,20200429,90,-0.566666667
fomcminutes20220921,FOMC_Minutes,20220921,126,0.3492063492063492
fomcminutes20180131,FOMC_Minutes,20180131,162,0.13580246913580246
fomcminutes20170201,FOMC_Minutes,20170201,128,0.1171875
fomcminutes20130619,FOMC_Minutes,20130619,181,-0.187845304
fomcminutes20120620,FOMC_Minutes,20120620,168,-0.375
fomcminutes20210728,FOMC_Minutes,20210728,124,0.12903225806451613
fomcminutes20130130,FOMC_Minutes,20130130,112,-0.151785714
fomcminutes20240731,FOMC_Minutes,20240731,92,0.021739130434782608
fomcminutes20200315,FOMC_Minutes,20200315,113,-0.389380531
fomcminutes20230201,FOMC_Minutes,20230201,129,0.2713178294573643
fomcminutes20160316,FOMC_Minutes,20160316,189,-0.079365079
fomcminutes20160921,FOMC_Minutes,20160921,191,-0.057591623
fomcminutes20240320,FOMC_Minutes,20240320,102,0.23529411764705882
