,index,result_list_H_1,result_list_H_2,result_list_H_3,result_list_H_4
0,0,817497,0.03109613857910182,0000723254,20220727
1,1,761585,0.030683377429965138,0000723254,20230727
2,2,1884712,0.02637432138172835,0000723254,20190726
3,3,784237,0.03159631590960386,0000723254,20210728
4,4,1078418,0.02405282552776382,0000723254,20200729
5,5,1521993,0.025439670221873555,0000732712,20230210
6,6,1964522,0.024648235041399385,0000732712,20190215
7,7,1575404,0.024153804357485445,0000732712,20210225
8,8,2091845,0.025085988684630075,0000732712,20200221
9,9,1590361,0.024053029469409775,0000732712,20220211
10,10,959065,0.03048594203729674,0001018724,20200131
11,11,888354,0.02797308280257645,0001018724,20220204
12,12,749074,0.030185268745144003,0001018724,20210203
13,13,781115,0.031391024369010964,0001018724,20230203
14,14,905814,0.028887829068660897,0001018724,20190201
15,15,2071074,0.028190687536997713,0001688568,20190613
16,16,2270573,0.028629337176122503,0001688568,20200601
17,17,1537536,0.027449113386613388,0001688568,20220526
18,18,1625940,0.028547793891533512,0001688568,20210528
19,19,3082264,0.02372022643096114,0001130310,20190228
20,20,2586372,0.02324220955067562,0001130310,20220222
21,21,3966411,0.023709847517062656,0001130310,20200227
22,22,2729135,0.02344735603039058,0001130310,20230217
23,23,2625733,0.021822096915413716,0001130310,20210225
24,24,1683651,0.024638716693661574,0000884887,20190222
25,25,1599782,0.020163372259470354,0000884887,20200225
26,26,1423725,0.0255351279214736,0000884887,20220301
27,27,5592675,0.015285350927776064,0000884887,20210226
28,28,1422674,0.024091956414470216,0000884887,20230223
29,29,2400520,0.019896522420142303,0000018230,20210217
30,30,3838730,0.025367764859732255,0000018230,20200219
31,31,2163513,0.020186613161094942,0000018230,20220216
32,32,3791049,0.02479946843208832,0000018230,20190214
33,33,2102636,0.02034779200964884,0000018230,20230215
34,34,2469150,0.021111718607618006,0000092230,20190226
35,35,2606213,0.017886488940082795,0000092230,20210224
36,36,2381566,0.018075501581732357,0000092230,20230228
37,37,2359064,0.017920242943811615,0000092230,20220223
38,38,3239635,0.01385989471036089,0000092230,20200303
39,39,962762,0.027616378710418568,0000320193,20191031
40,40,594881,0.029187350075057027,0000320193,20221028
41,41,605041,0.029636008138291453,0000320193,20211029
42,42,743572,0.028637441969304924,0000320193,20201030
43,43,598993,0.029150591075354802,0000320193,20231103
44,44,933468,0.02833305480209284,0001327567,20230901
45,45,1735036,0.028036882231838416,0001413329,20200207
46,46,1408482,0.027039749176773292,0001413329,20220211
47,47,1609372,0.02598218435513977,0001413329,20230210
48,48,1403024,0.026824202579570983,0001413329,20210209
49,49,1595158,0.026215584913845524,0001413329,20190207
50,50,1746818,0.028692743033332607,0001637459,20230216
51,51,1637382,0.029700460857637376,0001637459,20210217
52,52,2434259,0.02788405013599621,0001637459,20200214
53,53,6699657,0.021745740117740355,0001637459,20190607
54,54,1657491,0.029641186588645126,0001637459,20220217
55,55,2106250,0.020475252225519287,0001385157,20221115
56,56,2029556,0.01967523931342619,0001385157,20211109
57,57,2120011,0.019414521905782564,0001385157,20201110
58,58,1976330,0.020473807511903377,0001385157,20231113
59,59,2565307,0.017217822272344013,0001385157,20191112
60,60,1260218,0.024439422385650736,0001158449,20190219
61,61,549563,0.02977820559244345,0001158449,20220215
62,62,640354,0.025835709623114714,0001158449,20210222
63,63,1171961,0.02558446910776041,0001158449,20200218
64,64,1124945,0.0233718092884541,0001166691,20210204
65,65,1320691,0.02104050076815849,0001166691,20230203
66,66,1077139,0.022725015063051288,0001166691,20220202
67,67,2455175,0.018460598531672895,0001166691,20190131
68,68,2287659,0.019635356493253583,0001166691,20200130
69,69,1699870,0.04384335272697324,0001121788,20220216
70,70,1790290,0.01254210211753403,0001121788,20200219
71,71,1608950,0.013017185120730912,0001121788,20210217
72,72,809470,0.021838981061682337,0001121788,20190220
73,73,1759454,0.0393013969106325,0001121788,20230222
74,74,820633,0.028570627795860025,0001596532,20210219
75,75,751805,0.029844175018788117,0001596532,20220215
76,76,1096360,0.02988708088584042,0001596532,20200214
77,77,752078,0.030930302442033937,0001596532,20230214
78,78,1035758,0.029873773603486527,0001596532,20190215
79,79,3492521,0.03860105637160092,0000079282,20220223
80,80,3655887,0.03874600062857523,0000079282,20230227
81,81,2955298,0.00991811993240614,0000079282,20210223
82,82,990727,0.030323186912237177,0000721371,20210816
83,83,958426,0.030424884132942972,0000721371,20230815
84,84,1223040,0.028935276033490318,0000721371,20200813
85,85,1112608,0.027709669533204865,0000721371,20190820
86,86,979868,0.030525540174799054,0000721371,20220811
87,87,977883,0.026566572892667117,0001113169,20190213
88,88,990678,0.027481179555819347,0001113169,20200213
89,89,844124,0.028430657107249645,0001113169,20230215
90,90,1031399,0.025611814632358572,0001113169,20220224
91,91,751515,0.025798553588418063,0001113169,20210211
92,92,842010,0.03025617272954003,0001145197,20230224
93,93,1205979,0.02809833338723145,0001274494,20220301
94,94,1196034,0.02823999986622454,0001274494,20230228
95,95,2110628,0.027576152690099817,0000078003,20210225
96,96,2122435,0.02648231865757962,0000078003,20220224
97,97,2052853,0.026432969140995483,0000078003,20230223
98,98,3666585,0.02838499584763479,0000078003,20190228
99,99,3400538,0.029508271926383414,0000078003,20200227
100,100,5146212,0.042818484741786775,0000910606,20220217
101,101,5415257,0.009232987464860854,0000910606,20200218
102,102,5148070,0.009368753727124923,0000910606,20210217
103,103,5955260,0.038825676796646995,0000910606,20230217
104,104,2828942,0.02604224476853891,0000910606,20190221
105,105,1989365,0.018718535814191965,0000096943,20200221
106,106,1093081,0.029365618833370993,0000096943,20210225
107,107,1107390,0.028771254932769847,0000096943,20220301
108,108,997852,0.03014775738285838,0000096943,20230223
109,109,1892209,0.02598550160156727,0000096943,20190221
110,110,2723358,0.026539661697066636,0001521332,20200203
111,111,2649720,0.025713282912911552,0001521332,20190204
112,112,1641588,0.027569645976944276,0001521332,20210208
113,113,1664033,0.026314381986414934,0001521332,20230208
114,114,1597609,0.02750923411172571,0001521332,20220207
115,115,2295924,0.025829252187790187,0000006201,20200219
116,116,1854157,0.025750785936681737,0000006201,20230222
117,117,3292999,0.020866085899206164,0000006201,20210217
118,118,3603728,0.015804466929801583,0000006201,20220222
119,119,2421437,0.02486705208518743,0000006201,20190225
120,120,914818,0.024023357651467285,0001402057,20220228
121,121,1800536,0.024067833134133392,0001402057,20190227
122,122,1684648,0.02476541093450976,0001402057,20200228
123,123,873908,0.02371531099383459,0001402057,20210226
124,124,849918,0.02428469570005577,0001402057,20230224
125,125,719004,0.02957285355853375,0001048286,20230214
126,126,1566271,0.025906755599765303,0001048286,20190301
127,127,816156,0.02912800984125584,0001048286,20220215
128,128,1073281,0.030124450167290765,0001048286,20200227
129,129,859199,0.030316608841490737,0001048286,20210218
130,130,441889,0.03161880019642942,0001014473,20230217
131,131,641058,0.026607576849520635,0001014473,20220218
132,132,705671,0.029576105578945428,0001014473,20190215
133,133,508463,0.031099608034409584,0001014473,20210219
134,134,620147,0.03114100366526001,0001014473,20200214
135,135,3279298,0.01943220774690193,0000035527,20230224
136,136,4608728,0.020827872679837038,0000035527,20200302
137,137,3322183,0.019223805551951835,0000035527,20220225
138,138,3356265,0.02001599992849194,0000035527,20210226
139,139,3219273,0.020298682342255535,0000035527,20190301
140,140,1645920,0.024746038689608243,0001506307,20210205
141,141,2053398,0.021654837493754256,0001506307,20230208
142,142,1640651,0.024562201223782512,0001506307,20220207
143,143,2820599,0.02435191957453009,0001506307,20200212
144,144,2616547,0.027119329406274758,0001506307,20190208
145,145,1404692,0.03125382646160155,0001543151,20230221
146,146,2307369,0.02375866192186859,0000064040,20200210
147,147,1433269,0.02445877221931124,0000064040,20230210
148,148,2099326,0.02380859380582149,0000064040,20190213
149,149,1304346,0.024549467702588118,0000064040,20220208
