,0
0,0000723254
1,0000723254
2,0000723254
3,0000723254
4,0000723254
5,0000732712
6,0000732712
7,0000732712
8,0000732712
9,0000732712
10,0001018724
11,0001018724
12,0001018724
13,0001018724
14,0001018724
15,0001688568
16,0001688568
17,0001688568
18,0001688568
19,0001130310
20,0001130310
21,0001130310
22,0001130310
23,0001130310
24,0000884887
25,0000884887
26,0000884887
27,0000884887
28,0000884887
29,0000018230
30,0000018230
31,0000018230
32,0000018230
33,0000018230
34,0000092230
35,0000092230
36,0000092230
37,0000092230
38,0000092230
39,0000320193
40,0000320193
41,0000320193
42,0000320193
43,0000320193
44,0001327567
45,0001413329
46,0001413329
47,0001413329
48,0001413329
49,0001413329
50,0001637459
51,0001637459
52,0001637459
53,0001637459
54,0001637459
55,0001385157
56,0001385157
57,0001385157
58,0001385157
59,0001385157
60,0001158449
61,0001158449
62,0001158449
63,0001158449
64,0001166691
65,0001166691
66,0001166691
67,0001166691
68,0001166691
69,0001121788
70,0001121788
71,0001121788
72,0001121788
73,0001121788
74,0001596532
75,0001596532
76,0001596532
77,0001596532
78,0001596532
79,0000079282
80,0000079282
81,0000079282
82,0000721371
83,0000721371
84,0000721371
85,0000721371
86,0000721371
87,0001113169
88,0001113169
89,0001113169
90,0001113169
91,0001113169
92,0001145197
93,0001274494
94,0001274494
95,0000078003
96,0000078003
97,0000078003
98,0000078003
99,0000078003
100,0000910606
101,0000910606
102,0000910606
103,0000910606
104,0000910606
105,0000096943
106,0000096943
107,0000096943
108,0000096943
109,0000096943
110,0001521332
111,0001521332
112,0001521332
113,0001521332
114,0001521332
115,0000006201
116,0000006201
117,0000006201
118,0000006201
119,0000006201
120,0001402057
121,0001402057
122,0001402057
123,0001402057
124,0001402057
125,0001048286
126,0001048286
127,0001048286
128,0001048286
129,0001048286
130,0001014473
131,0001014473
132,0001014473
133,0001014473
134,0001014473
135,0000035527
136,0000035527
137,0000035527
138,0000035527
139,0000035527
140,0001506307
141,0001506307
142,0001506307
143,0001506307
144,0001506307
145,0001543151
146,0000064040
