,index,result_list_lm_1,result_list_lm_2,result_list_lm_3,result_list_lm_4
0,0,817497,0.0038581181337668516,0000723254,20220727
1,1,761585,0.0037435086037671435,0000723254,20230727
2,2,1884712,0.0015349825331403418,0000723254,20190726
3,3,784237,0.004048521046571381,0000723254,20210728
4,4,1078418,0.003264967758327476,0000723254,20200729
5,5,1521993,0.0036406212117926955,0000732712,20230210
6,6,1964522,0.002574672108533272,0000732712,20190215
7,7,1575404,0.0035013241048010542,0000732712,20210225
8,8,2091845,0.0025073559465447967,0000732712,20200221
9,9,1590361,0.0034419858132839023,0000732712,20220211
10,10,959065,0.003382461042786464,0001018724,20200131
11,11,888354,0.004805516719686071,0001018724,20220204
12,12,749074,0.00413043304132836,0001018724,20210203
13,13,781115,0.004604955736351241,0001018724,20230203
14,14,905814,0.0029498329679161508,0001018724,20190201
15,15,2071074,0.0030776302536751465,0001688568,20190613
16,16,2270573,0.0036519416024060887,0001688568,20200601
17,17,1537536,0.004922161172161172,0001688568,20220526
18,18,1625940,0.005468836488431307,0001688568,20210528
19,19,3082264,0.0017642875496712805,0001130310,20190228
20,20,2586372,0.003470885085362817,0001130310,20220222
21,21,3966411,0.0020837477508004088,0001130310,20200227
22,22,2729135,0.003751738188107221,0001130310,20230217
23,23,2625733,0.0034995942085505266,0001130310,20210225
24,24,1683651,0.0036682186510149668,0000884887,20190222
25,25,1599782,0.0028235097031970606,0000884887,20200225
26,26,1423725,0.004626595726000457,0000884887,20220301
27,27,5592675,0.0070612005882694775,0000884887,20210226
28,28,1422674,0.004950536806042706,0000884887,20230223
29,29,2400520,0.0028552147034809124,0000018230,20210217
30,30,3838730,0.002016291846522157,0000018230,20200219
31,31,2163513,0.00283427924861094,0000018230,20220216
32,32,3791049,0.001668931211387666,0000018230,20190214
33,33,2102636,0.002932509478578318,0000018230,20230215
34,34,2469150,0.001833829455480631,0000092230,20190226
35,35,2606213,0.0037778953600492364,0000092230,20210224
36,36,2381566,0.0031697630886567915,0000092230,20230228
37,37,2359064,0.003173292458364843,0000092230,20220223
38,38,3239635,0.002331435485787751,0000092230,20200303
39,39,962762,0.0032001678504137055,0000320193,20191031
40,40,594881,0.003915068728031321,0000320193,20221028
41,41,605041,0.004222854318963508,0000320193,20211029
42,42,743572,0.0042255491062062585,0000320193,20201030
43,43,598993,0.003948293218785528,0000320193,20231103
44,44,933468,0.004831445748541996,0001327567,20230901
45,45,1735036,0.004332474945764814,0001413329,20200207
46,46,1408482,0.005680583777428466,0001413329,20220211
47,47,1609372,0.00551768018829705,0001413329,20230210
48,48,1403024,0.005781797032695093,0001413329,20210209
49,49,1595158,0.0037826973879703453,0001413329,20190207
50,50,1746818,0.0056525636900925,0001637459,20230216
51,51,1637382,0.005259615654746418,0001637459,20210217
52,52,2434259,0.003587950172927367,0001637459,20200214
53,53,6699657,0.002839996137115676,0001637459,20190607
54,54,1657491,0.005192788377131459,0001637459,20220217
55,55,2106250,0.005043086053412463,0001385157,20221115
56,56,2029556,0.004730098602847125,0001385157,20211109
57,57,2120011,0.004742428223249785,0001385157,20201110
58,58,1976330,0.004913147095879737,0001385157,20231113
59,59,2565307,0.004029537205488466,0001385157,20191112
