,0
0,20220727
1,20230727
2,20190726
3,20210728
4,20200729
5,20230210
6,20190215
7,20210225
8,20200221
9,20220211
10,20200131
11,20220204
12,20210203
13,20230203
14,20190201
15,20190613
16,20200601
17,20220526
18,20210528
19,20190228
20,20220222
21,20200227
22,20230217
23,20210225
24,20190222
25,20200225
26,20220301
27,20210226
28,20230223
29,20210217
30,20200219
31,20220216
32,20190214
33,20230215
34,20190226
35,20210224
36,20230228
37,20220223
38,20200303
39,20191031
40,20221028
41,20211029
42,20201030
43,20231103
44,20230901
45,20200207
46,20220211
47,20230210
48,20210209
49,20190207
50,20230216
51,20210217
52,20200214
53,20190607
54,20220217
55,20221115
56,20211109
57,20201110
58,20231113
59,20191112
60,20190219
61,20220215
62,20210222
63,20200218
64,20210204
65,20230203
66,20220202
67,20190131
68,20200130
69,20220216
70,20200219
71,20210217
72,20190220
73,20230222
74,20210219
75,20220215
76,20200214
77,20230214
78,20190215
79,20220223
80,20230227
81,20210223
82,20210816
83,20230815
84,20200813
85,20190820
86,20220811
87,20190213
88,20200213
89,20230215
90,20220224
91,20210211
92,20230224
93,20220301
94,20230228
95,20210225
96,20220224
97,20230223
98,20190228
99,20200227
100,20220217
101,20200218
102,20210217
103,20230217
104,20190221
105,20200221
106,20210225
107,20220301
108,20230223
109,20190221
110,20200203
111,20190204
112,20210208
113,20230208
114,20220207
115,20200219
116,20230222
117,20210217
118,20220222
119,20190225
120,20220228
121,20190227
122,20200228
123,20210226
124,20230224
125,20230214
126,20190301
127,20220215
128,20200227
129,20210218
130,20230217
131,20220218
132,20190215
133,20210219
134,20200214
135,20230224
136,20200302
137,20220225
138,20210226
139,20190301
140,20210205
141,20230208
142,20220207
143,20200212
144,20190208
145,20230221
146,20200210
147,20230210
148,20190213
149,20220208
150,20210209
151,20200218
152,20210216
153,20220215
154,20190219
155,20230222
156,20190207
157,20220211
158,20210211
159,20200206
160,20230210
161,20210217
162,20200220
163,20230213
164,20220216
165,20190221
166,20230224
167,20220225
168,20210301
169,20220214
170,20230209
171,20210211
172,20200213
173,20200213
174,20190215
175,20230209
176,20210211
177,20220210
178,20190213
179,20210211
180,20220210
181,20230208
182,20200210
183,20211213
184,20221212
185,20201215
186,20231212
187,20191220
188,20230214
189,20220209
190,20200211
191,20190213
192,20210211
193,20220202
194,20190205
195,20200204
196,20210203
197,20230203
198,20190207
199,20210204
200,20200206
201,20220209
202,20230208
203,20210222
204,20190227
205,20230215
206,20220225
207,20200226
208,20230301
209,20220224
210,20210225
211,20230223
212,20220210
213,20190227
214,20220225
215,20230223
216,20200225
217,20210225
218,20201124
219,20221122
220,20191126
221,20211203
222,20231121
223,20210218
224,20190221
225,20230214
226,20220217
227,20200220
228,20220214
229,20210216
230,20230214
231,20200227
232,20190207
233,20200211
234,20220208
235,20210209
236,20230209
237,20210226
238,20190228
239,20220301
240,20230228
241,20200227
242,20220721
243,20200724
244,20210723
245,20190719
246,20230713
247,20230224
248,20220225
249,20190227
250,20210226
251,20200227
252,20190225
253,20210224
254,20200226
255,20190219
256,20220222
257,20210222
258,20200218
259,20230221
260,20190228
261,20230223
262,20220222
263,20200226
264,20210223
265,20220222
266,20190221
267,20230221
268,20200220
269,20210222
270,20200228
271,20210226
272,20230227
273,20220225
274,20190228
275,20220812
276,20230815
277,20210810
278,20200811
279,20190813
280,20190318
281,20191118
282,20211115
283,20201116
284,20221114
285,20231113
286,20210223
287,20200225
288,20220301
289,20190226
290,20230228
291,20230825
292,20200826
293,20190826
294,20210830
295,20220826
296,20190226
297,20230222
298,20210225
299,20220223
300,20200225
301,20220321
302,20220211
303,20200213
304,20190214
305,20230209
306,20210211
307,20190226
308,20210226
309,20200227
310,20230224
311,20220224
312,20210216
313,20220211
314,20230217
315,20200302
316,20221115
317,20211122
318,20231120
319,20230228
320,20200320
321,20220318
322,20230317
323,20190328
324,20210319
325,20230209
326,20200327
327,20230324
328,20210326
329,20190402
330,20220325
331,20230324
332,20200319
333,20210319
334,20220318
335,20190322
336,20200221
337,20220224
338,20190222
339,20230223
340,20210225
341,20230228
342,20190227
343,20210226
344,20220301
345,20200227
346,20210225
347,20200228
348,20220224
349,20220224
350,20210225
351,20230227
352,20200226
353,20190227
354,20220218
355,20200221
356,20190221
357,20230217
358,20210219
359,20220225
360,20190225
361,20210301
362,20230227
363,20200302
364,20230227
365,20190226
366,20220225
367,20200225
368,20210226
369,20230223
370,20220217
371,20200220
372,20220204
373,20190222
374,20210205
375,20230203
376,20220805
377,20210806
378,20200826
379,20230804
380,20190816
381,20190219
382,20200218
383,20190201
384,20230127
385,20200124
386,20220127
387,20210122
388,20230227
389,20190227
390,20220225
391,20200227
392,20210225
393,20200228
394,20210217
395,20220223
396,20190220
397,20230222
398,20191115
399,20200522
400,20220517
401,20230526
402,20190514
403,20210519
404,20190221
405,20200220
406,20220218
407,20230217
408,20210219
409,20220225
410,20190226
411,20200221
412,20210222
413,20230224
414,20220211
415,20190207
416,20200206
417,20210223
418,20230214
419,20200228
420,20210225
421,20220225
422,20190228
423,20230224
424,20230213
425,20220222
426,20200224
427,20210222
428,20190227
429,20210322
430,20190402
431,20220321
432,20230327
433,20200323
434,20230228
435,20220228
436,20200302
437,20210301
438,20190318
439,20220211
440,20230214
441,20210212
442,20200214
443,20190213
444,20220210
445,20190214
446,20230209
447,20210211
448,20200213
449,20230222
450,20210301
451,20220224
452,20200226
453,20220224
454,20190220
455,20230223
456,20210217
457,20230216
458,20210219
459,20200214
460,20190215
461,20220217
462,20230224
463,20210212
464,20190219
465,20200214
466,20230215
467,20220216
468,20210219
469,20190222
470,20220217
471,20230222
472,20200221
473,20190530
474,20220520
475,20200522
476,20210518
477,20230525
478,20230210
479,20210223
480,20200224
481,20190208
482,20220218
483,20200228
484,20190222
485,20200221
486,20210219
487,20220218
488,20230224
489,20211008
490,20231006
491,20221007
492,20201019
493,20191017
494,20220217
495,20200225
496,20230216
497,20190214
498,20210219
499,20230224
500,20220225
501,20201119
502,20191126
503,20221122
504,20231116
505,20211118
506,20230315
507,20220323
508,20190328
509,20210324
510,20200325
511,20230227
512,20220223
513,20210218
514,20190221
515,20200220
516,20200221
517,20230221
518,20210222
519,20220222
520,20190225
521,20231220
522,20221219
523,20220204
524,20200207
525,20210205
526,20230210
527,20190208
528,20191213
529,20221216
530,20231215
531,20211217
532,20201211
533,20200219
534,20220223
535,20230222
536,20190219
537,20210217
538,20220224
539,20230224
540,20190809
541,20230811
542,20200810
543,20220812
544,20210810
545,20220211
546,20190222
547,20200220
548,20210212
549,20230210
550,20190225
551,20210224
552,20200226
553,20190618
554,20210621
555,20220616
556,20230614
557,20200615
558,20231108
559,20200214
560,20230216
561,20220216
562,20210212
563,20190215
564,20190228
565,20210226
566,20220228
567,20200228
568,20230228
569,20200224
570,20220301
571,20210225
572,20230301
573,20190228
574,20230215
575,20210219
576,20220217
577,20190227
578,20200224
579,20190207
580,20230206
581,20210208
582,20220207
583,20200207
584,20200214
585,20210223
586,20190208
587,20230223
588,20220211
589,20210226
590,20190227
591,20220225
592,20200226
593,20230221
594,20210216
595,20230213
596,20220211
597,20190219
598,20210224
599,20230215
600,20220216
601,20200218
602,20190226
603,20220228
604,20210226
605,20230228
606,20200225
607,20200211
608,20190213
609,20230207
610,20220204
611,20210205
612,20210226
613,20230224
614,20220225
615,20190219
616,20200218
617,20230215
618,20220216
619,20210212
620,20220214
621,20210212
622,20200214
623,20190215
624,20230213
625,20220125
626,20200207
627,20210128
628,20190208
629,20230126
630,20200219
631,20220223
632,20210219
633,20230222
634,20230223
635,20190228
636,20210225
637,20220224
638,20200227
639,20210222
640,20190227
641,20200224
642,20190214
643,20220218
644,20200214
645,20210218
646,20230217
647,20230216
648,20220210
649,20190228
650,20230222
651,20200227
652,20210224
653,20220223
654,20210225
655,20220225
656,20230224
657,20210127
658,20190123
659,20220126
660,20230125
661,20200122
662,20220216
663,20210217
664,20230222
