file name,number of words
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190118_10-K_edgar_data_1598014_0001598014-19-000017_1.txt,993119
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190123_10-K_edgar_data_1067701_0001067701-19-000007_1.txt,1833405
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190123_10-K_edgar_data_87347_0001564590-19-000928_1.txt,2682184
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190125_10-K_edgar_data_54480_0000054480-19-000012_1.txt,1468144
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190125_10-K_edgar_data_63754_0000063754-19-000017_1.txt,1091501
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190125_10-K_edgar_data_796343_0000796343-19-000019_1.txt,1278759
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190128_10-K_edgar_data_815097_0000815097-19-000004_1.txt,852419
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190129_10-K_edgar_data_1065280_0001065280-19-000043_1.txt,993633
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190130_10-K_edgar_data_1065088_0001065088-19-000006_1.txt,1300057
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190131_10-K_edgar_data_1091667_0001091667-19-000029_1.txt,1950403
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190131_10-K_edgar_data_1133421_0001133421-19-000007_1.txt,2102851
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190131_10-K_edgar_data_1166691_0001166691-19-000005_1.txt,2434578
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190131_10-K_edgar_data_1326801_0001326801-19-000009_1.txt,743018
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190131_10-K_edgar_data_822416_0000822416-19-000008_1.txt,1521029
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190201_10-K_edgar_data_1018724_0001018724-19-000004_1.txt,893156
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190201_10-K_edgar_data_50863_0000050863-19-000007_1.txt,1692047
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190204_10-K_edgar_data_1035267_0001035267-19-000012_1.txt,1060229
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190204_10-K_edgar_data_1521332_0001521332-19-000007_1.txt,2619647
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190205_10-K_edgar_data_1035443_0001035443-19-000041_1.txt,3535216
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190205_10-K_edgar_data_1652044_0001652044-19-000004_1.txt,1071726
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190205_10-K_edgar_data_811156_0000811156-19-000003_1.txt,3886732
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190205_10-K_edgar_data_92380_0000092380-19-000022_1.txt,1310176
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190206_10-K_edgar_data_1467858_0001467858-19-000033_1.txt,2209372
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190206_10-K_edgar_data_277948_0000277948-19-000011_1.txt,1477886
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190206_10-K_edgar_data_815556_0000815556-19-000015_1.txt,597298
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190206_10-K_edgar_data_875045_0000875045-19-000006_1.txt,1784761
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190206_10-K_edgar_data_899866_0000899866-19-000010_1.txt,1310446
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190207_10-K_edgar_data_1283699_0001283699-19-000015_1.txt,2066720
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190207_10-K_edgar_data_1306830_0001306830-19-000014_1.txt,2487281
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190207_10-K_edgar_data_1413329_0001413329-19-000007_1.txt,1577870
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190207_10-K_edgar_data_1571949_0001571949-19-000003_1.txt,1492662
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190207_10-K_edgar_data_1633917_0001633917-19-000043_1.txt,1151607
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190207_10-K_edgar_data_310764_0000310764-19-000014_1.txt,1018978
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190207_10-K_edgar_data_55785_0000055785-19-000013_1.txt,997513
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190207_10-K_edgar_data_62996_0000062996-19-000011_1.txt,1296194
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190207_10-K_edgar_data_66740_0001558370-19-000470_1.txt,3603634
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190207_10-K_edgar_data_872589_0001532176-19-000009_1.txt,1149844
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190207_10-K_edgar_data_936340_0000936340-19-000086_1.txt,2741559
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190208_10-K_edgar_data_100885_0000100885-19-000060_1.txt,1185058
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190208_10-K_edgar_data_1037646_0001037646-19-000010_1.txt,1228749
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190208_10-K_edgar_data_1058090_0001058090-19-000007_1.txt,690007
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190208_10-K_edgar_data_1060391_0001060391-19-000008_1.txt,1609299
