,ticker_y,cik,permno
0,QCOM,804328,77178
288,WBA,1618921,19502
576,ITW,49826,56573
864,D,715957,64936
1152,HAS,46080,52978
1440,WMB,107263,38156
1728,ADSK,769397,85631
2016,EMR,32604,22103
2304,COST,909832,87055
2592,PTC,857005,75912
2709,BA,12927,19561
2997,CAG,23217,56274
3285,SLB,87347,14277
3573,MRO,101778,15069
3861,HES,4447,28484
4149,COP,1163165,13928
4437,AVY,8818,44601
4725,LUV,92380,58683
5013,SNA,91440,60206
5301,MU,723125,53613
5589,IFF,51253,40272
5877,TXN,97476,15579
6165,GE,40545,12060
6453,BEN,38777,37584
6741,AMGN,318154,14008
7029,CVX,93410,14541
7317,CCL,815097,75154
7605,ADP,8670,44644
7893,HPQ,47217,27828
8181,HCA,860730,76171
8263,HCA,860730,12622
8371,MMC,62709,45751
8659,HIG,874766,82775
8947,PNW,764622,27991
9235,LOW,60667,61399
9523,KLAC,319201,46886
9811,F,37996,25785
10099,HON,773840,10145
10387,EIX,827052,15720
10675,ABT,1800,20482
10963,EXC,1109357,21776
11251,DAL,27904,26112
11318,DAL,27904,91926
11442,NEM,1164727,21207
11730,GPC,40987,46674
12018,AXP,4962,59176
12306,PARA,813828,76226
12594,NSC,702165,64311
12882,ALL,899051,79323
13170,DOV,29905,25953
13458,KR,56873,16678
13746,HBAN,49196,42906
14034,APTV,1521332,86591
14103,APTV,1521332,13103
14236,AON,315293,61735
14524,VZ,732712,65875
14812,BALL,9389,57568
15100,TGT,27419,49154
15388,FE,1031296,23026
15676,PPL,922224,22517
15964,XOM,34088,11850
16252,PPG,79879,22509
16540,TJX,109198,40539
16828,BK,1390777,49656
17116,GIS,40704,17144
17404,C,831001,70519
17692,BBY,764478,85914
17980,YUM,1041061,85348
18268,FCX,831259,81774
18556,COF,927628,81055
18844,TT,1466258,12431
19116,SWK,93556,43350
19404,ADI,6281,60871
19692,CVS,64803,17005
19980,DIS,1744489,26403
20268,MMM,66740,22592
20556,MCK,927653,81061
20844,PEG,788784,23712
21132,WM,823768,11955
21420,PFE,78003,21936
21708,GM,1467858,12079
21821,GM,1467858,12369
21948,PNC,713676,60442
22236,MCD,63908,43449
22524,CSCO,858877,76076
22812,IP,51434,21573
23100,DELL,1571996,11081
23265,USB,36104,36127
23278,USB,36104,66157
23553,WFC,72971,38703
23841,CI,1739940,64186
24129,AEP,4904,24109
24417,BAX,10456,27887
24705,ED,1047862,11404
24993,LIN,1707925,77768
25218,LIN,1707925,18143
25281,DE,315189,19350
25569,WY,106535,39917
25857,WMT,104169,55976
26145,OKE,1039684,25232
26330,APA,1841666,39490
26618,LLY,59478,50876
26906,STT,93751,72726
27194,AES,874761,76712
27482,AAPL,320193,14593
27770,MAR,1048286,85913
28058,KHC,1637459,23077
28219,KHC,1637459,15408
28321,UNH,731766,92655
28609,DD,1666700,20626
28821,DD,1666700,16851
28897,MAS,62996,34032
29185,BAC,70858,59408
29473,CSX,277948,62148
29761,AEE,1002910,24985
30049,BMY,14272,19393
